,ITEM_DESC,VENDOR,BRAND,VENDOR_CODE,UNIT,PACK,PER_PACK,PRICE,LAST_UPDATE,ACCOUNT,FLAG
483,"VEAL BONE HIND SHANK APPROXIMATELY 4""",SYSCO,BUTCHERS BLOCK RESERVE,7637499,LB,1.0,50 LB,5.14,2025-09-26,KITCHEN,
484,VEGETARIAN BLEND SWEET POTATO & ROASTED ROOT VEGETABLES,SYSCO,SUPREME,3617531,CASE,6.0,2.5 LB,48.98,2025-09-29,KITCHEN,
485,VINEGAR RICE UNSEASONED NO MSG,SYSCO,JADE MOUNTAIN,5109780,CASE,12.0,30 OZ,57.69,2025-07-28,KITCHEN,
486,VINEGAR SHERRY,SYSCO,COLUMELA (DRY),4965503,CASE,6.0,12.7 OZ,38.6,2025-08-29,KITCHEN,
487,VINEGAR WHITE DISTILLED 50 GRAIN,SYSCO,CLASSIC,4113049,CASE,4.0,1 GAL,18.25,2025-07-28,KITCHEN,
488,YOGURT PLAIN GREEK 5 PERCENT,SYSCO,CHOBANI,8890743,CASE,6.0,32 OZ,30.68,2025-08-27,KITCHEN,
489,YOGURT PLAIN GREEK NON-FAT,SYSCO,WHOLESOME FARMS,4360901,CASE,6.0,2 LB,26.02,2025-08-27,KITCHEN,
490,YOGURT RASPBERRY & PEACH ORIGINAL,SYSCO,YOPLAIT,5076587,CASE,48.0,4 OZ,29.74,2025-10-22,KITCHEN,
491,YOGURT STRAWBERRY & BANANA,SYSCO,YOPLAIT,5076595,CASE,48.0,4 OZ,29.74,2025-10-22,KITCHEN,
492,WHITEFISH FILLET SKIN-ON 8-10 OZ,SYSCO,IMPERIAL,7154654,CASE,,,94.95,2025-07-29,KITCHEN,Needs Review
493,,SYSCO,,4360893,,,,15.66,2025-07-29,KITCHEN,Needs Review
494,,SYSCO,,1962588,,,,57.94,2025-07-25,KITCHEN,Needs Review
495,,SYSCO,,8379270,,,,18.63,2025-07-25,KITCHEN,Needs Review
496,,SYSCO,,2161771,,,,64.11,2025-07-09,KITCHEN,Needs Review
497,APPETIZER PICKLE CHIPS BREADED,SYSCO,GOLDEN CRISP,8902239,CASE,6.0,2.5 LB,65.47,2025-08-19,SNACK BAR,
498,BAMBOO PICK KNOT 4.5 INCH,SYSCO,HANDGARD,3799024,CASE,10.0,100 CT,27.82,2025-08-08,SNACK BAR,
499,BEEF PATTY 80/20 ROUND FRESH,SYSCO,FIRE RIVER FARMS,7237013,CASE,42.0,5.33 OZ,77.66,2025-08-19,SNACK BAR,
