Unnamed: 0,ITEM_DESC,VENDOR,BRAND,VENDOR_CODE,UNIT,PACK,PER_PACK,PRICE,LAST_UPDATE,ACCOUNT,FLAG
646.0,DRESSING BALSAMIC VINAIGRETTE,SYSCO,KEN'S,7872328,CASE,4.0,1 GAL,58.1,2025-09-10,KITCHEN,
647.0,DRESSING CILANTRO VINAIGRETTE,SYSCO,IMPERIAL,9591264,CASE,2.0,1 GAL,31.92,2025-10-22,KITCHEN,
648.0,DRESSING GREEK FETA CHEESE,SYSCO,IMPERIAL,6475719,CASE,2.0,1 GAL,,2025-09-02,KITCHEN,
649.0,DRESSING HONEY MUSTARD DIJON,SYSCO,RELIANCE,8763898,CASE,4.0,1 GAL,75.88,2025-09-23,KITCHEN,
650.0,DUCK BREAST,SYSCO,MAPLE LEAF,7174697,LB,24.0,8 OZ,18.101,2025-10-22,KITCHEN,
651.0,GARLIC PEELED FRESH,SYSCO,IMPERIAL,1824537,CASE,1.0,5 LB,$43.60 ,2025-08-01,,
652.0,GRAPEFRUIT SECTION LT SYRUP,SYSCO,CLASSIC,2527836,CASE,1.0,8 LB,24.76,2025-09-09,KITCHEN,
653.0,HALIBUT FILLET SKIN-ON,SYSCO,PORTICO,2954772,LB,1.0,5 LB,21.116,2025-09-16,KITCHEN,
654.0,HAM PITT BONELESS FULLY COOKED,SYSCO,DEARBORN SAUSAGE,7401391,LB,3.0,15 LB,4.012,2025-09-10,KITCHEN,
655.0,HAM SMOKED SLICED .67 OUNCE,SYSCO,BLOCK & BARREL,1962976,CASE,4.0,2.5 LB,51.17,2025-09-26,KITCHEN,
656.0,HORSERADISH WHITE PREPARED,SYSCO,CLASSIC,9869108,CASE,6.0,32 OZ,$42.27 ,2025-08-22,,
657.0,ICE CREAM MOOSE TRACKS,SYSCO,HOUSE OF FLAVORS,2589018,CASE,1.0,3 GAL,$31.80 ,2025-08-08,,
658.0,ICE CREAM SORBETO RASPBERRY,SYSCO,HOUSE OF FLAVORS,7015506,CASE,1.0,3 GAL,$27.80 ,2025-08-12,,
659.0,ICE CREAM VANILLA BEAN,SYSCO,ASHBY'S,2727519,CASE,1.0,3 GAL,37.16,2025-09-12,BAKERY,
660.0,JUICE APPLE 100% ASEPTIC,SYSCO,CITAVO,6050116,CASE,12.0,46 OZ,$38.68 ,2025-08-22,,
661.0,JUICE GRAPEFRUIT 100% ASEPTIC,SYSCO,CITAVO,6050165,CASE,12.0,46 OZ,$53.32 ,2025-08-22,,
662.0,JUICE ORANGE,SYSCO,NATALIE'S,7302905,CASE,6.0,56 OZ,42.92,2025-09-05,KITCHEN,
663.0,JUICE PINEAPPLE 100% ASEPTIC,SYSCO,CITAVO,6050140,CASE,12.0,46 OZ,$45.28 ,2025-08-22,,
664.0,JUICE TOMATO,SYSCO,SACRAMENTO,393294,CASE,8.0,46 OZ,18.15,2025-09-30,KITCHEN,
665.0,KETCHUP FANCY,SYSCO,HOUSE RECIPE,5686266,CASE,6.0,#10,$46.67 ,2025-08-20,,
666.0,LOBSTER BODIES FROZEN,SYSCO,IMPERIAL,3011479,CASE,1.0,25 LB,$53.46 ,2025-08-20,,
667.0,MUSTARD FRENCH WHOLE GRAIN IN TIN,SYSCO,IMPERIAL,4064986,CASE,1.0,8.6 LB,$22.53 ,2025-08-20,,
668.0,MUSTARD YELLOW PREPARED,SYSCO,CLASSIC,4006797,CASE,1.0,1 GAL,$7.88 ,2025-08-20,,
